
3AcfdJViJgHz77rBj1LYxNHogN8owrD123CnEYx6BncXPhncruSXNP3QbVX7VqwtN4vhBea2vou5Fdv4ejy6tjDf,1679688018,2023-03-24T20:00:18,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,dec,-149860,149860,0,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
EzRAyep8KPdSxpiCQ25FcxtDzPR2jS5t13p1k7Gx5UL9JQy9A3PpiQbjhuzc8LLunGjvDEPHcbtksngyC9PH6Me,1679687936,2023-03-24T19:58:56,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,dec,-10,149870,149860,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
TKm1DQmUQYmTsEBJFSBbthAf6Emh17FQJrKQCcNCHzNLgG1QXpvFFio8bwfuEstjbvWVcYBsDU4vWmLYDzzMqeK,1679687575,2023-03-24T19:52:55,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,inc,1,149869,149870,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
5hUJzzdurQvT59pDVLEsAh2hMwDC4SVj9uNmwH5dzLHUrcb6YmVGq3jdZvxH68HNTYVH6HoyMAMSfN2ZuGVgZuJq,1679685878,2023-03-24T19:24:38,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,dec,-1,149870,149869,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
3uysDKDbdok5369e9ajXLokRbyVogAafNzx8KRjyHZwao1m1nJZ43GVE3dKhECuoP6QXCJymQyuMLofcj5o9UwEC,1679202129,2023-03-19T05:02:09,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,dec,-70000,219870,149870,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
66uiZq7uEZfjYM9FnpXdXFeheqnf1Y284PyJdeBED7tFr1ExJxr4nbQ78KmsRM51uqVU4PY3WvRxm43rF9bfjYRA,1679201617,2023-03-19T04:53:37,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,dec,-100,219970,219870,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
4edntjVfZYe1btHAFUsnxDHHPFr6oATGmYNs24yZksDMQ2EHxKMqddrxwDnsFVi4wxtrZVJQpXZYsMSYdTb6ngip,1679149004,2023-03-18T14:16:44,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,dec,-10000,229970,219970,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
2W8CC6mrim4BJ752eR5VBh9Tmk4eNKYJRnaYsjMjcr4CULsfiKaZn3kvfgNUU1iLXxgaDySwaJGNtxfRiWPgidGu,1679148920,2023-03-18T14:15:20,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,inc,229970,0,229970,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
2yS9aDrGLbAmrD9ajkfwtEX9vEfzSdnXc22fhCrYHK751tJ3uYM1tgQxEwPCEpJkLShvqhWjybqbXWktcwH58v23,1679148738,2023-03-18T14:12:18,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,dec,-25,25,0,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
5bb2mmDFSkhK7doKEUX14UpHgXR2KbmF1pehScpFYeep9X7rLCXPstjobNJY31gcbK9rUpo57R68LFMJsoG1cz43,1679147687,2023-03-18T13:54:47,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,dec,20,5,25,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
2KKqm1Aq43JbTXYjmM1wYAZSoDVA7YPD3DiTbwedv2t3ajHLjdPc4v5DGHPvE5u95DrhP9J3UPBw97c8ao73PyX9,1679076460,2023-03-17T18:07:40,0.00001,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,inc,5,0,5,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
3E71apE2ejde5x34tNMQdVBys7FJsN9dmhkZpj8nqTpCz7vFXAacranAZmngC59QhGkK5jUFy9XeZQRct8WC7Cip,1679076228,2023-03-17T18:03:48,0.000005,6a9qvGm3fii7gGu7rqPFSYwTschqHfBu9yUCq35kUwwH,inc,0,0,0,J9BcrQfX4p9D1bvLzRNCbMDv8f44a9LFdeqNE4Yk2WMD,,,
